,cpu,ram,gpu,gpu_mem
0,0.0,109297664,0,99
1,96.0,210751488,0,99
2,96.9,313511936,0,99
3,102.1,409980928,0,99
4,82.7,514838528,0,99
5,105.3,609210368,0,99
6,95.4,711970816,0,99
7,109.2,814731264,0,99
8,95.0,919588864,0,99
9,96.2,1022349312,0,99
10,109.6,1125109760,0,99
11,100.6,1223675904,0,99
12,95.6,1326436352,0,99
13,99.0,1425002496,0,99
14,95.3,1529860096,0,99
15,108.9,1632620544,0,99
16,96.2,1735380992,0,99
17,93.7,1840238592,0,99
18,109.7,1945096192,0,99
19,98.5,2043662336,0,99
20,98.1,2144325632,0,99
21,99.1,2244988928,0,99
22,98.2,2345652224,0,99
23,102.5,2442121216,0,99
24,100.6,2542784512,0,99
25,101.6,2641350656,0,99
26,109.5,2758791168,0,99
27,82.0,2863648768,0,99
28,104.0,2958020608,0,99
29,98.7,3060781056,0,99
30,96.2,3163541504,0,99
31,111.5,3266301952,0,99
32,102.3,3364868096,0,99
33,88.1,3461337088,0,99
34,99.3,3564097536,0,99
35,97.8,3654275072,0,99
36,102.6,3740258304,0,99
37,98.9,3826241536,0,99
38,100.8,3910127616,0,99
39,103.3,4006596608,0,99
40,101.8,4105162752,0,99
41,98.1,4197437440,0,99
42,99.6,4293906432,0,99
43,99.7,4375695360,0,99
44,97.2,4463775744,0,99
45,102.8,4541370368,0,99
46,98.0,4623159296,0,99
47,96.7,4711239680,0,99
48,110.3,4801417216,0,99
49,85.2,4889497600,0,99
50,109.8,4992258048,0,99
51,109.3,5097115648,0,99
52,82.8,5199876096,0,99
53,98.2,5302636544,0,99
54,108.3,5394911232,0,99
55,98.9,5495574528,0,99
56,98.0,5598334976,0,99
57,114.4,5698998272,0,99
58,98.8,5801758720,0,99
59,93.1,5894033408,0,99
60,91.6,5988405248,0,99
61,109.7,6091165696,0,99
62,97.6,6193926144,0,99
63,101.3,6292492288,0,99
64,88.7,6388961280,0,99
65,115.1,6487527424,0,99
66,97.7,6590287872,0,99
67,100.1,6688854016,0,99
68,100.3,6789517312,0,99
69,96.1,6892277760,0,99
70,98.8,6992941056,0,99
71,109.4,7097798656,0,99
72,83.2,7198461952,0,99
73,96.8,7301222400,0,99
74,112.7,7401885696,0,99
75,101.0,7500451840,0,99
76,83.9,7603212288,0,99
77,109.8,7705972736,0,99
78,95.3,7810830336,0,99
79,98.9,7913590784,0,99
80,114.6,8012156928,0,99
81,96.9,8113504256,0,99
82,96.9,8216416256,0,99
83,95.6,8319176704,0,99
84,97.5,8436617216,0,99
85,109.6,8537280512,0,99
86,100.8,8635846656,0,99
87,97.6,8738607104,0,99
88,98.9,8837173248,0,99
89,84.7,8937836544,0,99
90,113.1,9038499840,0,99
91,97.3,9139163136,0,99
92,99.1,9239826432,0,99
93,114.6,9340489728,0,99
94,84.8,9441153024,0,99
95,112.0,9535524864,0,99
96,84.8,9636188160,0,99
97,102.6,9734754304,0,99
98,99.6,9835417600,0,99
99,97.6,9938178048,0,99
100,94.7,10043035648,0,99
101,117.1,10139504640,0,99
102,93.8,10246459392,0,99
103,99.8,10347122688,0,99
104,94.1,10451980288,0,99
105,107.5,10556837888,0,99
106,111.8,10659598336,0,99
107,82.7,10760261632,0,99
108,96.6,10863022080,0,99
109,119.7,10959491072,0,99
110,98.1,11060154368,0,99
111,94.2,11165011968,0,99
112,96.9,11267772416,0,99
113,106.6,11372630016,0,99
114,81.0,11477487616,0,99
115,124.7,11580248064,0,99
116,91.1,11689299968,0,99
117,100.6,11789963264,0,99
118,102.5,11886432256,0,99
119,100.0,11987095552,0,99
120,100.8,12085661696,0,99
121,90.2,12182130688,0,99
122,112.0,12282793984,0,99
123,79.0,12375068672,0,99
124,110.7,12463149056,0,99
125,99.8,12563812352,0,99
126,112.5,12666572800,0,99
127,89.5,12763041792,0,99
128,87.5,12859510784,0,99
129,100.9,12960174080,0,99
130,116.2,13056643072,0,99
131,99.6,13157306368,0,99
132,100.8,13255872512,0,99
133,99.2,13356535808,0,99
134,91.9,13450907648,0,99
135,111.4,13551570944,0,99
136,102.4,13650137088,0,99
137,85.5,13750800384,0,99
138,96.1,13838880768,0,99
139,101.6,13935349760,0,99
140,104.0,14029721600,0,99
141,101.8,14128287744,0,99
142,99.8,14226853888,0,99
143,98.6,14327517184,0,99
144,104.0,14421889024,0,99
145,99.9,14520455168,0,99
146,99.5,14616924160,0,99
147,86.8,14713393152,0,99
148,106.7,14805667840,0,99
149,102.0,14902136832,0,99
150,100.6,15000702976,0,99
151,94.4,15105560576,0,99
152,100.7,15204126720,0,99
153,103.2,15300595712,0,99
154,109.7,15405453312,0,99
155,86.9,15504019456,0,99
156,101.2,15602585600,0,99
157,116.9,15699054592,0,99
158,91.5,15793426432,0,99
159,86.0,15894089728,0,99
160,102.3,15990558720,0,99
161,116.4,16089124864,0,99
162,3262.4,9433137152,0,99
