,cpu,ram,gpu,gpu_mem
0,0.0,110063616,0,99
1,3189.4,133210112,0,99
2,3650.4,137662464,0,99
3,3834.2,137662464,0,99
4,3843.3,137662464,0,99
5,3887.3,137662464,0,99
6,3853.4,137662464,0,99
7,3784.6,137662464,0,99
8,3807.8,137662464,0,99
9,3759.2,137662464,0,99
10,3756.9,137662464,0,99
11,3803.5,137662464,0,99
12,3876.5,137662464,0,99
13,3840.4,137662464,0,99
14,3781.8,137662464,0,99
15,3783.1,137662464,0,99
16,3880.6,137662464,0,99
17,3920.1,137662464,0,99
18,3865.7,137662464,0,99
19,3847.1,137662464,0,99
20,3836.4,137662464,0,99
21,3821.0,137662464,0,99
22,3811.1,137662464,0,99
23,3813.5,137662464,0,99
24,3966.8,137662464,0,99
25,3864.9,137662464,0,99
26,3860.9,137662464,0,99
27,3870.9,137662464,0,99
28,3835.9,137662464,0,99
29,3898.5,137662464,0,99
30,3773.6,137662464,0,99
31,3718.3,137662464,0,99
32,3730.5,137662464,0,99
33,3774.7,137662464,0,99
34,3828.4,137662464,0,99
35,3865.1,137662464,0,99
36,3832.9,137662464,0,99
37,3816.5,137662464,0,99
38,3902.6,137662464,0,99
39,3861.7,137662464,0,99
40,3843.4,137662464,0,99
41,3935.4,137662464,0,99
42,3790.6,137662464,0,99
43,3837.3,137662464,0,99
44,3804.6,137662464,0,99
45,3824.6,137662464,0,99
46,3783.2,137662464,0,99
47,3795.0,137662464,0,99
48,3808.2,137662464,0,99
49,3858.4,137662464,0,99
50,3855.6,137662464,0,99
51,3900.8,137662464,0,99
52,3988.4,137662464,0,99
53,3949.1,137662464,0,99
54,3965.9,137662464,0,99
55,3874.4,137662464,0,99
56,3987.8,137662464,0,99
57,3941.1,137662464,0,99
58,3894.0,137662464,0,99
59,3786.4,137662464,0,99
60,3801.2,137662464,0,99
61,3842.9,137662464,0,99
62,3915.1,137662464,0,99
63,3856.7,137662464,0,99
64,3847.1,137662464,0,99
65,3824.5,137662464,0,99
66,3821.8,137662464,0,99
67,3971.8,137662464,0,99
68,3891.1,137662464,0,99
69,3828.8,137662464,0,99
70,3851.8,137662464,0,99
71,3899.9,137662464,0,99
72,3844.4,137662464,0,99
73,3888.4,137662464,0,99
74,3902.1,137662464,0,99
75,3915.0,137662464,0,99
76,4003.9,137662464,0,99
77,3951.7,137662464,0,99
78,3897.9,137662464,0,99
79,3841.5,137662464,0,99
80,3927.0,137662464,0,99
81,3903.3,137662464,0,99
82,3886.3,137662464,0,99
83,3908.4,137662464,0,99
84,3890.3,137662464,0,99
85,3968.7,137662464,0,99
86,3825.4,137662464,0,99
87,3944.5,137662464,0,99
88,3942.2,137662464,0,99
89,3934.3,137662464,0,99
90,3966.6,137662464,0,99
91,3984.5,137662464,0,99
92,3915.9,137662464,0,99
93,4015.7,137662464,0,99
94,3933.5,137662464,0,99
95,3975.4,137662464,0,99
96,3950.4,137662464,0,99
97,3880.0,137662464,0,99
98,3834.0,137662464,0,99
99,3883.7,137662464,0,99
100,3817.1,137662464,0,99
101,3848.8,137662464,0,99
102,3893.8,137662464,0,99
103,3896.3,137662464,0,99
104,3879.2,137662464,0,99
105,3948.6,137662464,0,99
106,3993.2,137662464,0,99
107,3946.4,137662464,0,99
108,3900.3,137662464,0,99
109,3880.0,137662464,0,99
110,3981.4,137662464,0,99
111,3957.6,137662464,0,99
112,3943.1,137662464,0,99
113,3889.6,137662464,0,99
114,3847.7,137662464,0,99
115,3876.5,137662464,0,99
116,3838.4,137662464,0,99
117,3898.8,137662464,0,99
118,3950.1,137662464,0,99
119,3916.2,137662464,0,99
120,3929.0,137662464,0,99
121,3934.2,137662464,0,99
122,3920.8,137662464,0,99
123,3826.7,137662464,0,99
124,3858.2,137662464,0,99
125,3838.8,137662464,0,99
126,3757.0,137662464,0,99
127,3864.5,137662464,0,99
128,3809.4,137662464,0,99
129,3846.7,137662464,0,99
130,3901.7,137662464,0,99
131,3912.8,137662464,0,99
132,3797.9,137662464,0,99
133,3868.0,137662464,0,99
134,3796.1,137662464,0,99
135,3868.0,137662464,0,99
136,3859.4,137662464,0,99
137,3957.8,137662464,0,99
138,3882.7,137662464,0,99
139,3922.8,137662464,0,99
140,4038.1,137662464,0,99
141,3836.6,137662464,0,99
142,3779.4,137662464,0,99
143,3831.7,137662464,0,99
144,3945.1,137662464,0,99
145,3940.6,137662464,0,99
146,3963.3,137662464,0,99
147,3979.5,137662464,0,99
148,3900.9,137662464,0,99
149,3943.7,137662464,0,99
150,3953.9,137662464,0,99
151,3881.0,137662464,0,99
152,3836.0,137662464,0,99
153,3955.8,137662464,0,99
154,3882.5,137662464,0,99
155,3869.3,137662464,0,99
156,3728.6,137662464,0,99
157,3835.7,137662464,0,99
158,3926.6,137662464,0,99
159,3932.2,137662464,0,99
160,3900.1,137662464,0,99
161,3924.5,137662464,0,99
162,3888.7,137662464,0,99
163,3844.2,137662464,0,99
164,3892.8,137662464,0,99
165,3889.7,137662464,0,99
166,3800.0,137662464,0,99
167,3741.4,137662464,0,99
168,3762.4,137662464,0,99
169,3787.7,137662464,0,99
170,3829.7,137662464,0,99
171,3892.9,137662464,0,99
172,3752.0,137662464,0,99
173,3820.4,137662464,0,99
174,3858.5,137662464,0,99
175,3908.4,137662464,0,99
176,3820.9,137662464,0,99
177,3821.7,137662464,0,99
178,3862.3,137662464,0,99
179,3894.5,137662464,0,99
180,3923.9,137662464,0,99
181,3877.8,137662464,0,99
182,3911.0,137662464,0,99
183,3881.5,137662464,0,99
184,3795.9,137662464,0,99
185,3767.0,137662464,0,99
186,3795.3,137662464,0,99
187,3828.4,137662464,0,99
188,3810.6,137662464,0,99
189,3723.9,137662464,0,99
190,3776.7,137662464,0,99
191,3808.2,137662464,0,99
192,3887.5,137662464,0,99
193,3786.4,137662464,0,99
194,3818.6,137662464,0,99
195,3845.6,137662464,0,99
196,3850.9,137662464,0,99
197,3810.3,137662464,0,99
198,3831.0,137662464,0,99
199,3854.3,137662464,0,99
200,3897.1,137662464,0,99
201,3846.2,137662464,0,99
202,3813.8,137662464,0,99
203,3711.4,137662464,0,99
204,3745.7,137662464,0,99
205,3767.8,137662464,0,99
206,3777.9,137662464,0,99
207,3823.2,137662464,0,99
208,3770.0,137662464,0,99
209,3768.2,137662464,0,99
210,3829.0,137662464,0,99
211,3906.3,137662464,0,99
212,3854.4,137662464,0,99
213,3850.6,137662464,0,99
214,3870.3,137662464,0,99
215,3834.0,137662464,0,99
216,3867.1,137662464,0,99
217,3889.8,137662464,0,99
218,3836.9,137662464,0,99
219,3895.5,137662464,0,99
220,3791.2,137662464,0,99
221,3824.5,137662464,0,99
222,3908.6,137662464,0,99
223,3903.7,137662464,0,99
224,3944.9,137662464,0,99
225,3894.1,137662464,0,99
226,3892.4,137662464,0,99
227,3970.1,137662464,0,99
228,3841.7,137662464,0,99
229,3903.5,137662464,0,99
230,3842.9,137662464,0,99
231,3840.9,137662464,0,99
232,3938.1,137662464,0,99
233,3860.3,137662464,0,99
234,3986.7,137662464,0,99
235,3895.5,137662464,0,99
236,3884.4,137662464,0,99
237,3859.0,137662464,0,99
238,3832.1,137662464,0,99
239,3828.7,137662464,0,99
240,3890.3,137662464,0,99
241,3890.7,137662464,0,99
242,3758.0,137662464,0,99
243,3837.6,137662464,0,99
244,3819.1,137662464,0,99
245,3964.4,137662464,0,99
246,3829.2,137662464,0,99
247,3896.4,137662464,0,99
248,3885.2,137662464,0,99
249,3897.7,137662464,0,99
250,3859.8,137662464,0,99
251,3868.6,137662464,0,99
252,3870.4,137662464,0,99
253,3901.2,137662464,0,99
254,3942.5,137662464,0,99
255,3811.3,137662464,0,99
256,3829.6,137662464,0,99
257,3816.3,137662464,0,99
258,3936.9,137662464,1,99
259,3817.2,137662464,1,99
260,3882.6,137662464,0,99
261,3870.4,137662464,0,99
262,3900.9,137662464,0,99
263,3894.3,137662464,0,99
264,3872.1,137662464,0,99
265,3847.7,137662464,0,99
266,3827.3,137662464,0,99
267,3883.9,137662464,0,99
268,3909.5,137662464,0,99
269,3930.7,137662464,0,99
270,3850.2,137662464,0,99
271,3886.4,137662464,0,99
272,3860.4,137662464,0,99
273,3855.9,137662464,0,99
274,3826.0,137662464,0,99
275,3866.0,137662464,0,99
276,3963.2,137662464,0,99
277,3847.9,137662464,0,99
278,3899.8,137662464,0,99
279,3869.0,137662464,0,99
280,3840.8,137662464,0,99
281,3870.8,137662464,0,99
282,3876.7,137662464,0,99
283,3905.5,137662464,0,99
284,3910.9,137662464,0,99
285,3916.7,137662464,0,99
286,3908.5,137662464,0,99
287,3820.1,137662464,0,99
288,3889.4,137662464,0,99
289,3853.9,137662464,0,99
290,3881.5,137662464,0,99
291,3870.7,137662464,0,99
292,3845.1,137662464,0,99
293,3854.9,137662464,0,99
294,3824.9,137662464,0,99
295,3884.6,137662464,0,99
296,3861.3,137662464,0,99
297,3882.6,137662464,0,99
298,3874.4,137662464,0,99
299,3891.3,137662464,0,99
300,3822.5,137662464,0,99
301,3811.8,137662464,0,99
302,3796.3,137662464,0,99
303,3955.1,137662464,0,99
304,3828.3,137662464,0,99
305,3869.8,137662464,0,99
306,3921.7,137662464,0,99
307,3905.6,137662464,0,99
308,3860.2,137662464,0,99
309,3918.6,137662464,0,99
310,3833.9,137662464,0,99
311,3750.0,137662464,0,99
312,3796.1,137662464,0,99
313,3956.9,137662464,0,99
314,3895.2,137662464,0,99
315,3748.6,137662464,0,99
316,3813.4,137662464,0,99
317,3886.0,137662464,0,99
318,3840.2,137662464,0,99
319,3894.6,137662464,0,99
320,3902.3,137662464,0,99
321,3922.0,137662464,0,99
322,3889.2,137662464,0,99
323,3832.5,137662464,0,99
324,3792.1,137662464,0,99
325,3738.9,137662464,0,99
326,3865.3,137662464,0,99
327,3748.8,137662464,0,99
328,3800.4,137662464,0,99
329,3941.4,137662464,0,99
330,3893.1,137662464,0,99
331,3971.9,137662464,0,99
332,3931.7,137662464,0,99
333,3906.5,137662464,0,99
334,3855.2,137662464,0,99
335,3811.7,137662464,0,99
336,3931.3,137662464,0,99
337,3950.6,137662464,0,99
338,3872.3,137662464,0,99
339,3892.5,137662464,0,99
340,3784.8,137662464,0,99
341,3905.1,137662464,0,99
342,3916.0,137662464,0,99
343,3199.0,137662464,0,99
344,96.8,137662464,0,99
345,99.6,137662464,0,99
346,104.0,137662464,0,99
347,101.4,137662464,0,99
348,89.3,137662464,0,99
349,115.8,137662464,0,99
350,87.1,137662464,0,99
351,100.9,137662464,0,99
352,107.2,137662464,0,99
353,102.8,137662464,0,99
354,102.9,137662464,0,99
355,88.6,137662464,0,99
356,102.3,137662464,0,99
357,103.7,137662464,0,99
358,100.1,137662464,0,99
359,101.8,137662464,0,99
360,101.8,137662464,0,99
361,91.2,137662464,0,99
362,99.3,137662464,0,99
363,101.4,137662464,0,99
364,101.2,137662464,0,99
365,101.8,137662464,0,99
366,104.8,137662464,0,99
367,100.1,137662464,0,99
368,99.8,137662464,0,99
369,100.1,137662464,0,99
370,100.4,137662464,0,99
371,99.4,137662464,0,99
372,100.6,137662464,0,99
373,102.4,137662464,0,99
374,93.6,137662464,0,99
375,101.0,137662464,0,99
376,100.4,137662464,0,99
377,102.0,137662464,0,99
378,101.2,137662464,0,99
379,101.9,137662464,0,99
380,98.6,137662464,0,99
381,96.2,137662464,0,99
382,89.7,137662464,0,99
383,105.7,137662464,0,99
384,101.9,137662464,0,99
385,104.2,137662464,0,99
386,100.7,137662464,0,99
387,88.8,137662464,0,99
388,115.5,137662464,0,99
389,88.5,137662464,0,99
390,101.3,137662464,0,99
391,99.6,137662464,0,99
392,105.8,137662464,0,99
393,100.9,137662464,0,99
394,90.4,137662464,0,99
395,113.3,137662464,0,99
396,87.1,137662464,0,99
397,105.9,137662464,0,99
398,102.1,137662464,0,99
399,88.0,137662464,0,99
400,117.2,137662464,0,99
401,88.3,137662464,0,99
402,102.6,137662464,0,99
403,94.3,137662464,0,99
404,100.4,137662464,0,99
405,104.3,137662464,0,99
406,105.0,137662464,0,99
407,87.0,137662464,0,99
408,101.7,137662464,0,99
409,102.4,137662464,0,99
410,103.6,137662464,0,99
411,103.5,137662464,0,99
