,cpu,ram,gpu,gpu_mem
0,0.0,109285376,0,99
1,38.6,118890496,0,156
2,84.6,214794240,2,382
3,84.3,301838336,2,396
4,101.2,317423616,2,412
5,104.2,325898240,30,412
6,99.6,325898240,30,412
7,106.9,325898240,30,412
8,101.6,325898240,55,412
9,89.2,325898240,55,412
10,113.8,325898240,15,412
11,87.2,325898240,15,412
12,100.3,325898240,15,412
13,101.0,325898240,15,412
14,104.5,325898240,15,412
15,99.2,325898240,15,412
16,105.1,325898240,15,412
17,95.4,325898240,15,412
18,104.7,325898240,15,412
19,98.2,325898240,15,412
20,102.5,325898240,15,412
21,97.7,325898240,15,412
22,100.7,325898240,15,412
23,100.4,325898240,15,412
24,100.1,325898240,15,412
25,101.2,325898240,15,412
26,88.1,325898240,15,412
27,111.5,325898240,15,412
28,90.1,325898240,15,412
29,100.5,325898240,15,412
30,100.6,325898240,15,412
31,99.3,325898240,15,412
32,101.5,325898240,15,412
33,102.5,325898240,15,412
34,96.5,325898240,15,412
35,101.5,325898240,15,412
36,106.1,325898240,18,412
37,88.1,325898240,18,412
38,110.1,325898240,18,412
39,103.4,325898240,17,412
40,97.9,325898240,17,412
41,96.8,325898240,17,412
42,101.8,325898240,17,412
43,101.7,325898240,17,412
44,99.4,325898240,17,412
45,100.9,325898240,17,412
46,101.6,325898240,17,412
47,89.7,325898240,17,412
48,99.6,325898240,17,412
49,99.9,325898240,17,412
50,103.1,325898240,17,412
51,100.9,325898240,17,412
52,102.2,325898240,17,412
53,101.8,325898240,17,412
54,101.0,325898240,17,412
55,99.8,325898240,17,412
56,88.0,325898240,17,412
57,108.8,325898240,17,412
58,100.9,325898240,17,412
59,101.9,325898240,17,412
60,88.5,325898240,17,412
61,106.1,325898240,17,412
62,100.8,325898240,17,412
63,106.0,325898240,17,412
64,99.5,325898240,17,412
65,99.5,325898240,18,412
66,99.9,325898240,18,412
67,101.7,325898240,18,412
68,91.8,325898240,17,412
69,103.9,325898240,17,412
70,105.3,325898240,17,412
71,99.3,325898240,17,412
72,102.5,325898240,17,412
73,98.4,325898240,17,412
74,88.0,325898240,17,412
75,114.7,325898240,17,412
76,87.4,325898240,17,412
77,107.3,325898240,17,412
78,101.3,325898240,17,412
79,100.6,325898240,17,412
80,91.8,325898240,17,412
81,101.7,325898240,17,412
82,101.0,325898240,17,412
83,103.2,325898240,17,412
